2016/06/10 02:13:08:114  -[VCPageViewController applicationDidBecomeActive:] [Line 397] --- call syncReadingStatusData
2016/06/10 02:13:08:517  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:08:517  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:08:517  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:08:519  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:08:520  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:08:520  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:08:986  __76-[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:]_block_invoke.401 [Line 809] --- server data updated. change synced flag to YES and load page
2016/06/10 02:13:08:988  __76-[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:]_block_invoke.401 [Line 814] --- finish syncing server with core data. ready for users to read
2016/06/10 02:13:11:359  -[VCPageViewController viewWillDisappear:] [Line 323] --- 
2016/06/10 02:13:11:392  -[VCCoreDataCenter updateReadingStatusForBook:chapterNumber:wordNumber:] [Line 121] --- 
2016/06/10 02:13:11:392  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:11:392  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:11:392  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:11:392  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:11:392  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:11:392  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:11:392  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:11:396  -[VCCoreDataCenter updateReadingStatusForBook:chapterNumber:wordNumber:] [Line 139] --- reading status: chapter = 1162, word = 757 timestamp = 1465495991392
2016/06/10 02:13:11:396  -[VCPageViewController viewWillDisappear:] [Line 354] --- call syncReadingStatusData
2016/06/10 02:13:11:396  -[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:] [Line 728] --- 
2016/06/10 02:13:11:396  -[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:] [Line 731] --- callAPI
2016/06/10 02:13:11:397  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = user_status_get.php?token=BF937975CBDACFE097BA3A55D7D4F010&book_name=%E6%80%AA%E5%8E%A8
2016/06/10 02:13:11:402  -[VCLibraryTableViewController updateAllBooksOfCurrentUserAndShowErrorMessage:] [Line 99] --- 
2016/06/10 02:13:11:402  -[VCLibraryTableViewController updateAllBooksOfCurrentUserAndShowErrorMessage:] [Line 105] --- callAPI
2016/06/10 02:13:11:403  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = book_get_list.php?token=BF937975CBDACFE097BA3A55D7D4F010
2016/06/10 02:13:11:438  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:11:438  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:11:439  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:11:439  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:11:439  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:11:439  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:11:439  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:11:439  __76-[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:]_block_invoke [Line 800] --- what were stored in core data are the lastest data. so update server
2016/06/10 02:13:11:439  __76-[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:]_block_invoke [Line 806] --- callAPI
2016/06/10 02:13:11:439  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = user_status_add.php?current_reading_chapter=1162&timestamp=1465495991392&current_reading_word=757&token=BF937975CBDACFE097BA3A55D7D4F010&book_name=%E6%80%AA%E5%8E%A8
2016/06/10 02:13:11:462  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:11:462  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:11:462  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:11:462  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:11:462  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:11:462  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:11:462  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:11:464  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:11:464  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:11:464  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:11:464  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:11:464  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:11:464  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:11:464  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:11:466  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:11:466  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:11:466  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:11:466  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:11:466  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:11:466  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:11:466  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:11:468  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:11:468  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:11:468  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:11:468  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:11:468  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:11:468  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:11:468  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:11:469  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:11:469  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:11:469  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:11:469  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:11:469  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:11:469  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:11:469  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:11:480  __76-[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:]_block_invoke.401 [Line 809] --- server data updated. change synced flag to YES and load page
2016/06/10 02:13:11:481  __76-[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:]_block_invoke.401 [Line 814] --- finish syncing server with core data. ready for users to read
2016/06/10 02:13:14:945  -[VCLibraryTableViewController updateAllBooksOfCurrentUserAndShowErrorMessage:] [Line 99] --- 
2016/06/10 02:13:14:945  -[VCLibraryTableViewController updateAllBooksOfCurrentUserAndShowErrorMessage:] [Line 105] --- callAPI
2016/06/10 02:13:14:945  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = book_get_list.php?token=BF937975CBDACFE097BA3A55D7D4F010
2016/06/10 02:13:15:009  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:15:009  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:15:009  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:15:009  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:15:009  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:15:009  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:15:009  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:15:012  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:15:012  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:15:012  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:15:012  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:15:012  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:15:012  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:15:012  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:15:014  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:15:014  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:15:014  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:15:014  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:15:014  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:15:014  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:15:015  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:15:017  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:15:017  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:15:017  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:15:017  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:15:017  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:15:017  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:15:017  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:15:019  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:15:019  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:15:019  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:15:019  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:15:019  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:15:019  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:15:019  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:19:084  -[VCBookStoreTableViewController updateAllBooksAndShowErrorMessage:] [Line 67] --- callAPI
2016/06/10 02:13:19:085  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = book_get_list.php?token=
2016/06/10 02:13:22:152  -[VCBookStoreTableViewController updateAllBooksAndShowErrorMessage:] [Line 67] --- callAPI
2016/06/10 02:13:22:153  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = book_get_list.php?token=
2016/06/10 02:13:23:470  -[VCBookStoreTableViewController updateAllBooksAndShowErrorMessage:] [Line 67] --- callAPI
2016/06/10 02:13:23:470  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = book_get_list.php?token=
2016/06/10 02:13:31:817  -[VCBookStoreTableViewController updateAllBooksAndShowErrorMessage:] [Line 67] --- callAPI
2016/06/10 02:13:31:817  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = book_get_list.php?token=
2016/06/10 02:13:48:008  -[VCBookStoreTableViewController updateAllBooksAndShowErrorMessage:] [Line 67] --- callAPI
2016/06/10 02:13:48:008  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = book_get_list.php?token=
2016/06/10 02:14:11:643  -[VCCommentComposerViewController doneClicked:] [Line 153] --- Done Clicked.
2016/06/09 20:29:19:675  -[VCCoreDataCenter updateReadingStatusForBook:chapterNumber:wordNumber:] [Line 121] --- 
2016/06/09 20:29:19:675  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/09 20:29:19:676  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/09 20:29:19:676  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/09 20:29:19:676  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/09 20:29:19:676  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/09 20:29:19:676  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/09 20:29:19:676  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/09 20:29:19:679  -[VCCoreDataCenter updateReadingStatusForBook:chapterNumber:wordNumber:] [Line 139] --- reading status: chapter = 1161, word = 2112 timestamp = 1465475359676
2016/06/09 20:29:29:809  -[VCCoreDataCenter updateReadingStatusForBook:chapterNumber:wordNumber:] [Line 121] --- 
2016/06/09 20:29:29:809  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/09 20:29:29:810  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/09 20:29:29:810  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/09 20:29:29:810  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/09 20:29:29:810  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/09 20:29:29:810  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/09 20:29:29:810  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/09 20:29:29:813  -[VCCoreDataCenter updateReadingStatusForBook:chapterNumber:wordNumber:] [Line 139] --- reading status: chapter = 1161, word = 2241 timestamp = 1465475369810
2016/06/09 20:29:40:078  -[VCCoreDataCenter updateReadingStatusForBook:chapterNumber:wordNumber:] [Line 121] --- 
2016/06/09 20:29:40:078  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/09 20:29:40:078  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/09 20:29:40:078  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/09 20:29:40:078  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/09 20:29:40:078  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
